"Species"	"SumOfkm2"
"Cressa truxillensis"	1085806.52
"Crinum americanum"	205984.23
"Crocanthemum aldersonii"	42602.42
"Crocanthemum arenicola"	27584.26
"Crocanthemum bicknellii"	930630.60
"Crocanthemum canadense"	762535.90
"Crocanthemum carolinianum"	486014.47
"Crocanthemum corymbosum"	177181.54
"Crocanthemum dumosum"	13340.11
"Crocanthemum georgianum"	462019.44
"Crocanthemum glomeratum"	15910.30
"Crocanthemum greenei"	17322.52
"Crocanthemum nashii"	86971.94
"Crocanthemum propinquum"	102526.42
"Crocanthemum rosmarinifolium"	422947.13
"Crocanthemum scoparium"	143663.18
"Crocanthemum suffrutescens"	20942.50
"Crocidium multicaule"	390701.36
"Croomia pauciflora"	67394.21
"Croptilon divaricatum"	806441.29
"Croptilon hookerianum"	415713.53
"Croptilon rigidifolium"	126242.01
"Crossopetalum ilicifolium"	12808.02
"Crossopetalum rhacoma"	9128.75
"Crossosoma bigelovii"	398278.98
"Crossosoma californicum"	10401.81
"Crotalaria avonensis"	8083.08
"Crotalaria pumila"	228808.74
"Crotalaria purshii"	406837.62
"Crotalaria rotundifolia"	547908.89
"Crotalaria sagittalis"	1486986.67
"Croton alabamensis"	18481.63
"Croton argyranthemus"	362893.18
"Croton bigbendensis"	54221.67
"Croton californicus"	376557.03
"Croton capitatus"	1358624.02
"Croton cascarilla"	15643.66
"Croton ciliatoglandulifer"	12653.58
"Croton cortesianus"	9500.31
"Croton coryi"	13291.22
"Croton dioicus"	491093.42
"Croton elliottii"	33311.97
"Croton fruticulosus"	262941.08
"Croton glandulosus"	2102489.65
"Croton heptalon"	84209.38
"Croton humilis"	30057.63
"Croton incanus"	81123.71
"Croton leucophyllus"	71911.76
"Croton lindheimeri"	830219.90
"Croton lindheimerianus"	763335.38
"Croton michauxii"	1082422.09
"Croton monanthogynus"	1526916.20
"Croton parksii"	29283.36
"Croton pottsii"	473454.79
"Croton punctatus"	191795.45
"Croton sancti-lazari"	25748.78
"Croton setiger"	752497.30
"Croton soliman"	2270.36
"Croton sonorae"	61525.95
"Croton suaveolens"	31710.51
"Croton texensis"	1726007.97
"Croton wigginsii"	25933.88
"Crucihimalaya virgata"	424697.61
"Crusea diversifolia"	166725.11
"Cryptantha affinis"	1349207.37
"Cryptantha albida"	279636.81
"Cryptantha ambigua"	1383080.65
"Cryptantha barbigera"	673794.37
"Cryptantha clevelandii"	102754.97
"Cryptantha clokeyi"	89018.52
"Cryptantha corollata"	88315.29
"Cryptantha crassisepala"	1120080.02
"Cryptantha crinita"	17622.99
"Cryptantha decipiens"	533422.22
"Cryptantha dissita"	18577.89
"Cryptantha dumetorum"	238216.73
"Cryptantha echinella"	459382.26
"Cryptantha excavata"	18095.81
"Cryptantha fendleri"	1413528.41
"Cryptantha flaccida"	771731.87
"Cryptantha ganderi"	36886.60
"Cryptantha glomeriflora"	114642.60
"Cryptantha gracilis"	922974.02
"Cryptantha hispidula"	69152.89
"Cryptantha hooveri"	32459.19
"Cryptantha incana"	39066.52
"Cryptantha intermedia"	989592.75
"Cryptantha kelseyana"	678253.71
"Cryptantha leiocarpa"	78525.70
"Cryptantha mariposae"	16279.08
"Cryptantha maritima"	395366.61
"Cryptantha mexicana"	285356.21
"Cryptantha microstachys"	166119.87
"Cryptantha milobakeri"	112381.59
"Cryptantha minima"	1365994.90
"Cryptantha mohavensis"	127479.66
"Cryptantha muricata"	597713.33
"Cryptantha nemaclada"	96706.03
"Cryptantha nevadensis"	802926.86
"Cryptantha oxygona"	224830.30
"Cryptantha pterocarya"	1458659.50
"Cryptantha rattanii"	38453.71
"Cryptantha recurvata"	735926.23
"Cryptantha rostellata"	224170.18
"Cryptantha scoparia"	557178.97
"Cryptantha simulans"	475085.28
"Cryptantha sparsiflora"	97085.85
"Cryptantha spithamaea"	9675.05
"Cryptantha texana"	175008.04
"Cryptantha torreyana"	1702215.21
"Cryptantha traskiae"	15189.17
"Cryptantha utahensis"	330410.34
"Cryptantha watsonii"	1211289.04
"Cryptantha wigginsii"	21354.53
"Cryptogramma acrostichoides"	1558159.61
"Cryptogramma cascadensis"	495436.41
"Cryptogramma stelleri"	598188.96
"Cryptotaenia canadensis"	2565775.55
"Ctenitis sloanei"	21996.35
"Ctenitis submarginalis"	19288.70
"Ctenium aromaticum"	383458.02
"Ctenium floridanum"	23416.71
"Cucurbita digitata"	289301.31
"Cucurbita foetidissima"	1993038.35
"Cucurbita melopepo"	288037.09
"Cucurbita okeechobeensis"	14057.88
"Cucurbita palmata"	403793.57
"Cuniculotinus gramineus"	122009.27
"Cunila origanoides"	853438.77
"Cupania glabra"	7629.71
"Cuphea aspera"	4336.68
"Cuphea strigulosa"	8256.05
"Cuphea viscosissima"	945654.29
"Cuphea wrightii"	74082.28
"Cuscuta americana"	24172.20
"Cuscuta applanata"	212440.90
"Cuscuta brachycalyx"	89644.04
"Cuscuta californica"	698729.71
"Cuscuta campestris"	1225222.38
"Cuscuta cephalanthi"	832473.62
"Cuscuta compacta"	1120142.62
"Cuscuta coryli"	606289.19
"Cuscuta cuspidata"	964989.29
"Cuscuta decipiens"	24602.56
"Cuscuta dentatasquamata"	23722.94
"Cuscuta denticulata"	596124.40
"Cuscuta draconella"	47702.58
"Cuscuta erosa"	47963.54
"Cuscuta exaltata"	95731.66
"Cuscuta fasciculata"	4944.43
"Cuscuta glabrior"	339176.07
"Cuscuta glomerata"	529697.27
"Cuscuta gronovii"	2519908.01
"Cuscuta harperi"	21789.35
"Cuscuta howelliana"	72189.59
"Cuscuta indecora"	2412190.61
"Cuscuta jepsonii"	44528.69
"Cuscuta legitima"	115430.55
"Cuscuta leptantha"	128912.45
"Cuscuta liliputana"	20866.44
"Cuscuta megalocarpa"	271419.31
"Cuscuta mitriformis"	15924.34
"Cuscuta nevadensis"	146567.61
"Cuscuta obtusiflora"	309698.65
"Cuscuta occidentalis"	889958.79
"Cuscuta odontolepis"	110129.73
"Cuscuta pacifica"	188306.70
"Cuscuta pentagona"	3402419.21
"Cuscuta plattensis"	33859.38
"Cuscuta polygonorum"	519430.70
"Cuscuta potosina"	26916.41
"Cuscuta rostrata"	54167.62
"Cuscuta runyonii"	34379.75
"Cuscuta salina"	595378.60
"Cuscuta squamata"	234506.33
"Cuscuta subinclusa"	369138.95
"Cuscuta suksdorfii"	228946.24
"Cuscuta tuberculata"	152369.87
"Cuscuta umbellata"	684690.66
"Cuscuta veatchii"	10952.72
"Cuscuta warneri"	86887.36
"Cusickiella douglasii"	485585.29
"Cusickiella quadricostata"	25053.91
"Cyclachaena xanthiifolia"	2723377.44
"Cycladenia humilis"	351020.78
"Cyclanthera dissecta"	11274.52
"Cyclanthera gracillima"	55947.95
"Cyclanthera naudiniana"	274318.29
"Cyclanthera stenura"	31669.12
"Cycloloma atriplicifolium"	2000197.79
"Cyclopogon cranichoides"	36021.91
"Cyclopogon elatus"	6371.60
"Cyclosorus augescens"	18615.24
"Cyclosorus grandis"	5178.30
"Cyclosorus hispidulus"	322125.86
"Cyclosorus interruptus"	85832.78
"Cyclosorus kunthii"	792985.24
"Cyclosorus ovatus"	245145.01
"Cyclosorus puberulus"	153594.56
"Cylindropuntia abysii"	34916.10
"Cylindropuntia acanthocarpa"	299144.17
"Cylindropuntia arbuscula"	101690.90
"Cylindropuntia bigelovii"	283435.70
"Cylindropuntia californica"	43593.19
"Cylindropuntia davisii"	415072.99
"Cylindropuntia echinocarpa"	401702.42
"Cylindropuntia fosbergii"	10952.72
"Cylindropuntia fulgida"	133026.52
"Cylindropuntia ganderi"	93633.11
"Cylindropuntia imbricata"	821313.03
"Cylindropuntia kleiniae"	262124.71
"Cylindropuntia leptocaulis"	997892.19
"Cylindropuntia munzii"	30575.53
"Cylindropuntia prolifera"	35108.16
"Cylindropuntia ramosissima"	390895.70
"Cylindropuntia spinosior"	285581.29
"Cylindropuntia tunicata"	28315.89
"Cylindropuntia versicolor"	56731.02
"Cylindropuntia whipplei"	460644.46
"Cylindropuntia wolfii"	22584.90
"Cymophyllus fraserianus"	67434.28
"Cymopterus aboriginum"	179451.97
"Cymopterus basalticus"	52955.27
"Cymopterus cinerarius"	66823.87
"Cymopterus corrugatus"	255659.02
"Cymopterus coulteri"	69088.56
"Cymopterus crawfordensis"	2788.03
"Cymopterus davidsonii"	54291.32
"Cymopterus davisii"	6659.67
"Cymopterus deserticola"	31520.92
"Cymopterus douglassii"	24629.12
"Cymopterus duchesnensis"	42585.06
"Cymopterus evertii"	34830.30
"Cymopterus filifolius"	145118.44
"Cymopterus gilmanii"	174114.13
"Cymopterus glaucus"	139013.01
"Cymopterus globosus"	310554.66
"Cymopterus glomeratus"	1792078.09
"Cymopterus goodrichii"	77070.25
"Cymopterus hallii"	31669.12
"Cymopterus hendersonii"	12788.86
"Cymopterus ibapensis"	432943.57
"Cymopterus jonesii"	147739.00
"Cymopterus lapidosus"	68616.63
"Cymopterus lemmonii"	864186.49
"Cymopterus longilobus"	762892.61
"Cymopterus longipes"	270826.30
"Cymopterus longiradiatus"	101769.56
"Cymopterus macdougalii"	159540.87
"Cymopterus megacephalus"	124274.62
"Cymopterus minimus"	32684.63
"Cymopterus newberryi"	202971.33
"Cymopterus nivalis"	436167.22
"Cymopterus panamintensis"	153595.29
"Cymopterus petraeus"	631537.58
"Cymopterus planosus"	75438.01
"Cymopterus purpureus"	456897.73
"Cymopterus ripleyi"	110394.11
"Cymopterus rosei"	84185.57
"Cymopterus sessiliflorus"	264952.82
"Cymopterus spellenbergii"	20914.89
"Cymopterus terebinthinus"	1177542.48
"Cymopterus williamsii"	38727.43
"Cynanchum arizonicum"	61525.95
"Cynanchum barbigerum"	162922.64
"Cynanchum blodgettii"	12808.02
"Cynanchum laeve"	1195044.18
"Cynanchum ligulatum"	42819.34
"Cynanchum maccartii"	66308.28
"Cynanchum northropiae"	11629.11
"Cynanchum pringlei"	44938.16
"Cynanchum racemosum"	281417.27
"Cynanchum scoparium"	104775.91
"Cynanchum wigginsii"	51681.08
"Cynoglossum boreale"	477143.25
"Cynoglossum grande"	349793.41
"Cynoglossum occidentale"	286444.74
"Cynoglossum virginianum"	1196175.16
"Cynophalla flexuosa"	27808.92
"Cynosciadium digitatum"	358000.31
"Cyperus acuminatus"	1934196.89
"Cyperus aggregatus"	83696.24
"Cyperus amabilis"	19096.40
"Cyperus articulatus"	335418.53
"Cyperus bipartitus"	2227868.02
"Cyperus cephalanthus"	29826.51
"Cyperus compressus"	696039.05
"Cyperus croceus"	1009742.55
"Cyperus cuspidatus"	140897.80
"Cyperus dentatus"	266767.74
"Cyperus dentoniae"	23722.94
"Cyperus diandrus"	739476.14
"Cyperus digitatus"	90670.45
"Cyperus dipsaceus"	55293.68
"Cyperus distinctus"	128054.25
"Cyperus drummondii"	88621.24
"Cyperus echinatus"	1581351.60
"Cyperus elegans"	326478.01
"Cyperus eragrostis"	423969.57
"Cyperus erythrorhizos"	3348804.62
"Cyperus esculentus"	3963995.72
"Cyperus fendlerianus"	631251.06
"Cyperus filicinus"	220367.67
"Cyperus flavescens"	1132868.53
"Cyperus flavicomus"	340678.67
"Cyperus floribundus"	54322.06
"Cyperus floridanus"	12808.02
"Cyperus fuligineus"	2517.32
"Cyperus giganteus"	5352.65
"Cyperus granitophilus"	83427.64
"Cyperus grayi"	158739.91
"Cyperus grayoides"	111063.84
"Cyperus haspan"	677088.08
"Cyperus hermaphroditus"	53421.85
"Cyperus houghtonii"	258067.80
"Cyperus hypopitys"	15924.34
"Cyperus hystricinus"	186736.52
"Cyperus laevigatus"	340089.65
"Cyperus lancastriensis"	381770.84
"Cyperus lecontei"	143368.55
"Cyperus lentiginosus"	17423.04
"Cyperus ligularis"	66535.46
"Cyperus lupulinus"	2440037.83
"Cyperus manimae"	42819.34
"Cyperus mutisii"	54908.39
"Cyperus niger"	647061.99
"Cyperus ochraceus"	185840.35
"Cyperus odoratus"	3723936.64
"Cyperus onerosus"	8212.88
"Cyperus ovatus"	44562.59
"Cyperus pallidicolor"	69104.87
"Cyperus parishii"	354119.86
"Cyperus planifolius"	50378.57
"Cyperus plukenetii"	525548.75
"Cyperus polystachyos"	931623.49
"Cyperus pseudothyrsiflorus"	111689.56
"Cyperus pseudovegetus"	1372647.34
"Cyperus reflexus"	130119.15
"Cyperus refractus"	234342.61
"Cyperus retroflexus"	967237.55
"Cyperus retrofractus"	433277.77
"Cyperus retrorsus"	1012616.21
"Cyperus schweinitzii"	1778836.53
"Cyperus seslerioides"	35006.70
"Cyperus setigerus"	357323.84
"Cyperus spectabilis"	53300.89
"Cyperus sphaerolepis"	369429.93
"Cyperus squarrosus"	4237771.75
"Cyperus strigosus"	3867603.55
"Cyperus surinamensis"	511739.30
"Cyperus tetragonus"	196979.46
"Cyperus thyrsiflorus"	166917.46
"Cyperus virens"	633414.03
"Cyphomeris crassifolia"	9500.31
"Cyphomeris gypsophiloides"	291192.21
"Cypripedium acaule"	1312450.31
"Cypripedium arietinum"	329175.94
"Cypripedium californicum"	104806.91
"Cypripedium candidum"	471925.47
"Cypripedium fasciculatum"	349563.97
"Cypripedium kentuckiense"	191917.22
"Cypripedium montanum"	637830.41
"Cypripedium parviflorum"	2335574.27
"Cypripedium passerinum"	60560.10
"Cypripedium reginae"	833722.39
"Cyrilla racemiflora"	466517.37
"Cyrtopodium punctatum"	14905.33
"Cyrtorhyncha cymbalaria"	3547292.12
"Cyrtorhyncha ranunculina"	235239.05
"Cystopteris bulbifera"	1532529.84
"Cystopteris fragilis"	3762278.83
"Cystopteris laurentiana"	105362.55
"Cystopteris montana"	52059.25
"Cystopteris protrusa"	1531089.43
"Cystopteris reevesiana"	674684.57
"Cystopteris tennesseensis"	626494.84
"Cystopteris tenuis"	1186547.03
"Cystopteris utahensis"	138639.58
"Dalbergia brownei"	7629.71
"Dalea adenopoda"	61913.07
"Dalea albida"	132375.26
"Dalea albiflora"	324833.16
"Dalea arenicola"	343636.66
"Dalea aurea"	1262612.84
"Dalea austrotexana"	24910.99
"Dalea bartonii"	22007.79
"Dalea bicolor"	113109.63
"Dalea brachystachya"	209361.77
"Dalea cahaba"	1620.55
"Dalea candida"	3269361.01
"Dalea carnea"	107035.96
"Dalea carthagenensis"	17914.69
"Dalea ceciliana"	49866.13
"Dalea compacta"	266274.13
"Dalea cylindriceps"	394551.98
"Dalea emarginata"	142175.47
"Dalea enneandra"	1175900.74
"Dalea exigua"	129539.84
"Dalea exserta"	3172.05
"Dalea feayi"	80827.20
"Dalea filiformis"	306258.23
"Dalea flavescens"	184207.67
"Dalea foliosa"	33906.55
"Dalea formosa"	906903.80
"Dalea frutescens"	414932.58
"Dalea gattingeri"	34505.81
"Dalea glaberrima"	448659.48
"Dalea grayi"	154996.04
"Dalea greggii"	55711.13
"Dalea grisea"	71191.23
"Dalea hallii"	39170.53
"Dalea jamesii"	639208.78
"Dalea lachnostachys"	146053.48
"Dalea lanata"	446462.66
"Dalea laniceps"	41703.47
"Dalea lasiathera"	177700.13
"Dalea leporina"	887495.70
"Dalea lumholtzii"	26895.00
"Dalea mollis"	268882.31
"Dalea mollissima"	361167.67
"Dalea mountjoyae"	64904.07
"Dalea multiflora"	596887.38
"Dalea nana"	772726.64
"Dalea neomexicana"	281824.60
"Dalea obovata"	108113.68
"Dalea ornata"	363503.97
"Dalea phleoides"	212883.42
"Dalea pinnata"	348370.49
"Dalea pogonathera"	542910.89
"Dalea polygonoides"	360947.26
"Dalea pringlei"	42819.34
"Dalea pulchra"	51681.08
"Dalea purpurea"	2708245.96
"Dalea reverchonii"	5902.89
"Dalea rubescens"	518041.54
"Dalea sabinalis"	14482.23
"Dalea scandens"	12563.27
"Dalea scariosa"	32679.12
"Dalea searlsiae"	497713.08
"Dalea tentaculoides"	42819.34
"Dalea tenuifolia"	376664.55
"Dalea tenuis"	173311.63
"Dalea urceolata"	184582.57
"Dalea versicolor"	177155.63
"Dalea villosa"	829904.55
"Dalea wrightii"	251729.98
"Damasonium californicum"	392463.76
"Danthonia californica"	1541594.92
"Danthonia compressa"	642638.67
"Danthonia epilis"	45940.87
"Danthonia intermedia"	1675793.41
"Danthonia parryi"	430844.21
"Danthonia sericea"	737456.32
"Danthonia spicata"	2907476.69
"Danthonia unispicata"	1567536.48
"Darlingtonia californica"	112671.14
"Darmera peltata"	159089.10
"Dasiphora fruticosa"	2549799.02
"Dasistoma macrophylla"	730034.18
"Dasylirion leiophyllum"	89099.69
"Dasylirion texanum"	132775.05
"Dasylirion wheeleri"	269935.26
"Dasynotus daubenmirei"	22023.92
"Dasyochloa pulchella"	1231003.69
"Datisca glomerata"	342754.37
"Datura discolor"	187984.32
"Datura quercifolia"	383744.60
"Datura wrightii"	1565796.40
"Daucosma laciniata"	72811.03
"Daucus pusillus"	2259206.09
"Decodon verticillatus"	1053782.60
"Decumaria barbara"	671418.08
"Dedeckera eurekensis"	34630.23
"Deeringothamnus pulchellus"	6522.92
"Deeringothamnus rugelii"	2987.55
"Deinandra arida"	21119.11
"Deinandra bacigalupii"	1881.57
"Deinandra clementina"	22109.88
"Deinandra conjugens"	10952.72
"Deinandra corymbosa"	85566.80
"Deinandra fasciculata"	77137.80
"Deinandra floribunda"	10952.72
"Deinandra halliana"	36068.41
"Deinandra increscens"	23807.17
"Deinandra kelloggii"	288831.63
"Deinandra lobbii"	80644.99
"Deinandra minthornii"	15189.17
"Deinandra mohavensis"	32071.83
"Deinandra pallida"	92983.62
"Deinandra paniculata"	28404.02
"Deinandra pentactis"	28537.08
"Delphinium alabamicum"	35655.89
"Delphinium alpestre"	61382.03
"Delphinium andesicola"	88670.18
"Delphinium antoninum"	70350.23
"Delphinium bakeri"	5367.95
"Delphinium barbeyi"	486391.42
"Delphinium basalticum"	2796.31
"Delphinium bicolor"	985991.52
"Delphinium californicum"	52987.21
"Delphinium cardinale"	56701.14
"Delphinium carolinianum"	2366422.80
"Delphinium decorum"	190832.12
"Delphinium depauperatum"	687616.61
"Delphinium exaltatum"	98717.89
"Delphinium geraniifolium"	298146.84
"Delphinium geyeri"	418953.36
"Delphinium glareosum"	145124.85
"Delphinium glaucescens"	164049.80
"Delphinium glaucum"	377665.36
"Delphinium gracilentum"	160518.14
"Delphinium gypsophilum"	85694.72
"Delphinium hansenii"	221380.96
"Delphinium hesperium"	230265.15
"Delphinium hutchinsoniae"	8401.42
"Delphinium inopinum"	80551.93
"Delphinium lineapetalum"	110297.68
"Delphinium luteum"	5367.95
"Delphinium madrense"	79116.63
"Delphinium menziesii"	266412.80
"Delphinium multiplex"	29842.72
"Delphinium newtonianum"	15567.50
"Delphinium novomexicanum"	29622.46
"Delphinium nudicaule"	219596.67
"Delphinium nuttallianum"	2188178.46
"Delphinium nuttallii"	123526.66
"Delphinium occidentale"	1176717.37
"Delphinium parishii"	652481.01
"Delphinium parryi"	228861.25
"Delphinium patens"	273077.19
"Delphinium polycladon"	126462.67
"Delphinium purpusii"	33673.78
"Delphinium ramosum"	173120.89
"Delphinium recurvatum"	102290.72
"Delphinium robustum"	82577.06
"Delphinium sapellonis"	49488.25
"Delphinium scaposum"	1458757.10
"Delphinium scopulorum"	209377.99
"Delphinium stachydeum"	229009.63
"Delphinium sutherlandii"	28707.37
"Delphinium treleasei"	32820.60
"Delphinium tricorne"	1032176.51
"Delphinium trolliifolium"	155730.58
"Delphinium uliginosum"	17481.65
"Delphinium umbraculorum"	28594.53
"Delphinium variegatum"	218444.51
"Delphinium viridescens"	18570.53
"Delphinium wootonii"	594837.16
"Delphinium xantholeucum"	37941.60
"Delwiensia pattersonii"	58118.63
"Dendrolycopodium dendroideum"	904710.06
"Dendrolycopodium hickeyi"	649802.46
"Dendrolycopodium obscurum"	1054544.36
"Dendromecon harfordii"	17322.52
"Dendromecon rigida"	187745.24
"Dendrophylax lindenii"	15406.95
"Dendrophylax porrectus"	63170.33
"Dennstaedtia bipinnata"	10625.77
"Dennstaedtia globulifera"	8354.92
"Dennstaedtia punctilobula"	953259.26
"Deparia acrostichoides"	1390088.37
"Dermatophyllum arizonicum"	133615.98
"Dermatophyllum gypsophilum"	37916.78
"Dermatophyllum secundiflorum"	218802.00
"Deschampsia caespitosa"	2962569.85
"Deschampsia danthonioides"	1283965.05
"Deschampsia elongata"	1752479.71
"Deschampsia flexuosa"	674955.30
"Descurainia adenophora"	359035.37
"Descurainia brevisiliqua"	124729.07
"Descurainia californica"	1364171.89
"Descurainia incana"	2118323.41
"Descurainia incisa"	2105086.27
"Descurainia kenheilii"	1006.13
"Descurainia longepedicellata"	1651114.67
"Descurainia nelsonii"	1271971.73
"Descurainia obtusa"	534875.95
"Descurainia paradisa"	433071.67
"Descurainia pinnata"	5242139.84
"Descurainia torulosa"	87460.73
"Desmanthus acuminatus"	90935.39
"Desmanthus bicornutus"	26895.00
"Desmanthus cooleyi"	763785.51
"Desmanthus covillei"	23722.94
"Desmanthus glandulosus"	268839.56
"Desmanthus illinoensis"	2254985.07
"Desmanthus leptolobus"	329463.89
"Desmanthus obtusus"	280406.57
"Desmanthus reticulatus"	33965.56
"Desmanthus tatuhyensis"	23143.29
"Desmanthus velutinus"	372174.22
"Desmanthus virgatus"	257821.49
"Desmodium arizonicum"	95568.66
"Desmodium batocaulon"	150097.00
"Desmodium canadense"	1595478.02
"Desmodium canescens"	1581650.88
"Desmodium ciliare"	1445941.08
"Desmodium cinerascens"	75976.93
"Desmodium cuspidatum"	1023824.96
"Desmodium fernaldii"	102250.77
"Desmodium floridanum"	167075.73
"Desmodium glabellum"	1120233.03
"Desmodium grahamii"	286009.92
"Desmodium gramineum"	42819.34
"Desmodium illinoense"	656525.45
"Desmodium incanum"	134241.11
"Desmodium intortum"	15924.34
"Desmodium laevigatum"	1015107.94
"Desmodium lindheimeri"	5551.35
"Desmodium lineatum"	445694.64
"Desmodium marilandicum"	1193692.43
"Desmodium metcalfei"	159791.58
"Desmodium neomexicanum"	320093.07
"Desmodium nuttallii"	545798.52
"Desmodium obtusum"	868913.85
"Desmodium ochroleucum"	71606.82
"Desmodium paniculatum"	2594644.83
"Desmodium perplexum"	1483638.79
"Desmodium procumbens"	115116.78
"Desmodium psilocarpum"	57900.82
"Desmodium psilophyllum"	192340.32
"Desmodium retinens"	54908.39
"Desmodium rosei"	293159.26
"Desmodium rotundifolium"	1404376.58
"Desmodium scopulorum"	26895.00
"Desmodium sessilifolium"	974425.91
"Desmodium strictum"	400366.94
"Desmodium tenuifolium"	302190.20
"Desmodium tweedyi"	64352.79
"Desmodium viridiflorum"	832368.34
"Diamorpha smallii"	153400.51
"Diapensia lapponica"	48646.03
"Diaperia candida"	213393.24
"Diaperia prolifera"	833668.33
"Diaperia verna"	941852.12
"Diarrhena americana"	338788.60
"Diarrhena obovata"	514547.84
"Dicentra canadensis"	958507.74
"Dicentra cucullaria"	2185670.36
"Dicentra eximia"	120810.70
"Dicentra formosa"	401086.07
"Dicentra nevadensis"	28133.59
"Dicentra pauciflora"	120114.97
"Dicentra uniflora"	894988.53
"Dicerandra densiflora"	23052.64
"Dicerandra frutescens"	23281.69
"Dicerandra fumella"	31223.67
"Dicerandra linearifolia"	90678.47
"Dicerandra odoratissima"	37097.31
"Dicerandra radfordiana"	1099.61
"Dichaetophora campestris"	57503.97
"Dichanthelium aciculare"	1091386.85
"Dichanthelium acuminatum"	5120088.80
"Dichanthelium boreale"	647960.52
"Dichanthelium boscii"	1756632.22
"Dichanthelium clandestinum"	1725391.97
"Dichanthelium commutatum"	1866218.80
"Dichanthelium consanguineum"	399538.34
"Dichanthelium depauperatum"	1697031.97
"Dichanthelium dichotomum"	2187058.15
"Dichanthelium erectifolium"	294894.66
"Dichanthelium hirstii"	12145.55
"Dichanthelium latifolium"	1221350.19
"Dichanthelium laxiflorum"	1544402.22
"Dichanthelium leibergii"	617030.32
"Dichanthelium leucothrix"	736455.95
"Dichanthelium linearifolium"	1866165.20
"Dichanthelium malacophyllum"	374963.95
"Dichanthelium nodatum"	100162.04
"Dichanthelium oligosanthes"	3732127.30
"Dichanthelium ovale"	761345.84
"Dichanthelium pedicellatum"	81522.04
"Dichanthelium portoricense"	1149891.59
"Dichanthelium ravenelii"	871289.59
"Dichanthelium scabriusculum"	554149.66
"Dichanthelium scoparium"	1304680.48
"Dichanthelium sphaerocarpon"	2218955.96
"Dichanthelium strigosum"	498302.62
"Dichanthelium wilcoxianum"	568519.80
"Dichanthelium wrightianum"	255029.53
"Dichanthelium xanthophysum"	456550.25
"Dichelostemma capitatum"	845350.11
"Dichelostemma congestum"	326818.56
"Dichelostemma ida-maia"	97133.71
"Dichelostemma multiflorum"	187866.94
"Dichelostemma volubile"	139632.05
"Dichondra argentea"	159144.72
"Dichondra brachypoda"	184806.94
"Dichondra carolinensis"	907996.56
"Dichondra donelliana"	111139.88
"Dichondra micrantha"	132296.60
"Dichondra occidentalis"	36368.50
"Dichondra recurvata"	43800.06
"Dichondra sericea"	13051.11
"Dichromanthus cinnabarinus"	15910.30
"Dichromanthus michuacanus"	68568.13
"Dicliptera brachiata"	749660.30
"Dicliptera resupinata"	77681.80
"Dicliptera sexangularis"	64356.41
"Dicoria canescens"	607748.41
"Dicranocarpus parviflorus"	122389.92
"Dicranopteris flexuosa"	19822.62
"Dicranostegia orcuttiana"	10952.72
"Didiplis diandra"	239802.11
"Didymoglossum petersii"	99844.06
"Diervilla lonicera"	1031386.45
"Diervilla rivularis"	22580.54
"Diervilla sessilifolia"	58876.55
"Dieteria asteroides"	675902.45
"Dieteria bigelovii"	809407.11
"Dieteria canescens"	3113553.73
"Digitaria arenicola"	21436.44
"Digitaria californica"	990075.87
"Digitaria cognata"	1740527.46
"Digitaria filiformis"	978433.96
"Digitaria floridana"	8442.25
"Digitaria gracillima"	27654.95
"Digitaria hitchcockii"	61518.74
"Digitaria horizontalis"	25992.30
"Digitaria insularis"	227912.95
"Digitaria patens"	122788.26
"Digitaria pauciflora"	7629.71
"Digitaria pubiflora"	922822.34
"Digitaria serotina"	145966.96
"Digitaria simpsonii"	7421.45
"Digitaria texana"	58641.61
"Digitaria villosa"	355960.81
"Dimeresia howellii"	300550.31
"Dimorphocarpa candicans"	350159.63
"Dimorphocarpa pinnatifida"	38024.64
"Dimorphocarpa wislizeni"	776102.24
"Dinebra nealleyi"	157991.39
"Dinebra panicea"	1717147.01
"Dinebra panicoides"	235360.89
"Dinebra viscida"	134544.72
"Diodia teres"	2436717.79
"Diodia virginiana"	1578610.10
"Dionaea muscipula"	40447.86
"Dioscorea floridana"	79793.54
"Dioscorea villosa"	2318843.96
"Diospyros texana"	257876.29
"Diospyros virginiana"	2136792.95
"Diphasiastrum alpinum"	46222.09
"Diphasiastrum complanatum"	638324.25
"Diphasiastrum digitatum"	1599310.50
"Diphasiastrum sabinifolium"	134953.86
"Diphasiastrum sitchense"	295003.16
"Diphasiastrum tristachyum"	909496.01
"Diphylleia cymosa"	40653.91
"Diphysa thurberi"	15924.34
"Diplachne fusca"	3302831.75
"Diplacus aridus"	22584.90
"Diplacus aurantiacus"	243507.83
"Diplacus bicolor"	70742.15
"Diplacus brandegeei"	17322.52
"Diplacus calycinus"	106346.14
"Diplacus clevelandii"	12998.27
"Diplacus compactus"	41973.00
"Diplacus cusickii"	239906.08
"Diplacus fremontii"	187810.20
"Diplacus grandiflorus"	33563.28
"Diplacus longiflorus"	89271.41
"Diplacus ovatus"	19770.83
"Diplacus parviflorus"	22109.88
"Diplacus puniceus"	28187.44
"Diplacus rutilus"	15189.17
"Diplacus thompsonii"	55749.35
"Diplacus vandenbergensis"	6920.71
"Diplacus viscidus"	29075.83
"Diplazium lonchophyllum"	8305.07
"Dirca decipiens"	10550.50
"Dirca occidentalis"	13557.22
"Dirca palustris"	1405163.75
"Disakisperma dubium"	1026852.34
"Dissanthelium californicum"	10401.81
"Distichlis littoralis"	167278.94
